"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","911","Step 5: Click Recenter → verify 3D View button & North Direction is Displayed","Find My Matter Flow","Fri Dec 26 09:33:45 IST 2025","passed","Fri Dec 26 09:33:46 IST 2025","","","",""
"","31530","should complete the full bike booking flow","Bike Booking Flow","Fri Dec 26 09:30:33 IST 2025","broken","Fri Dec 26 09:31:05 IST 2025","","","",""
"","56323","Should delete existing emergency contacts and add new ones","Emergency Contact Flow","Fri Dec 26 09:36:09 IST 2025","passed","Fri Dec 26 09:37:05 IST 2025","","","",""
"","21257","Step 1: Validate Find A ROute UI elements","Find My Matter Flow","Sat Dec 13 14:47:08 IST 2025","broken","Sat Dec 13 14:47:29 IST 2025","","","",""
"","25865","Should book a test ride successfully","Book Test Ride Flow","Fri Dec 26 09:29:45 IST 2025","broken","Fri Dec 26 09:30:11 IST 2025","","","",""
"","284","Step 5: verify 3D View button & North Direction is not Displayed","Find My Matter Flow","Fri Dec 26 09:33:46 IST 2025","passed","Fri Dec 26 09:33:46 IST 2025","","","",""
"","40074","Should upload front & back side of Registration Dcos successfully","Document Upload Registration Dcos","Fri Dec 26 09:35:11 IST 2025","passed","Fri Dec 26 09:35:51 IST 2025","","","",""
"","16819","Should login successfully using valid phone number and OTP","Login Flow Automation","Fri Dec 26 09:37:23 IST 2025","passed","Fri Dec 26 09:37:39 IST 2025","","","",""
"","44174","should delete existing presets and add new Home & Work presets","My Places - Preset Location Flow","Fri Dec 26 09:34:04 IST 2025","broken","Fri Dec 26 09:34:49 IST 2025","","","",""
"","21831","Step 1: Validate Find My Matter UI elements","Find My Matter Flow","Fri Dec 26 09:33:13 IST 2025","passed","Fri Dec 26 09:33:35 IST 2025","","","",""
"","1574","Step 4: Tap Recenter again & compare screenshots","Find My Matter Flow","Fri Dec 26 09:33:44 IST 2025","passed","Fri Dec 26 09:33:45 IST 2025","","","",""
"","106014","Step 1: Validate Find A Route UI elements","Find My Matter Flow","Sat Dec 13 14:51:16 IST 2025","passed","Sat Dec 13 14:53:02 IST 2025","","","",""
"","55126","Should upload front & back side of Insurance License successfully","Document Upload Insurance License","Fri Dec 26 09:38:16 IST 2025","passed","Fri Dec 26 09:39:11 IST 2025","","","",""
"","42490","Should add or delete emergency contact based on availability","Emergency Contact Flow","Tue Dec 23 10:58:12 IST 2025","passed","Tue Dec 23 10:58:54 IST 2025","","","",""
"","1691","Step 3: Tap on Recenter & capture screenshot","Find My Matter Flow","Fri Dec 26 09:33:42 IST 2025","passed","Fri Dec 26 09:33:44 IST 2025","","","",""
"","5214","Step 5: Click Recenter → verify 3D View button & North Direction","Find My Matter Flow","Fri Dec 12 19:57:13 IST 2025","broken","Fri Dec 12 19:57:18 IST 2025","","","",""
"","6926","Step 2: Click Navigate to Vehicle & verify card elements","Find My Matter Flow","Fri Dec 26 09:33:35 IST 2025","failed","Fri Dec 26 09:33:42 IST 2025","","","",""
"","23","Should upload front & back side of Driving License successfully","Document Upload Driving License","Fri Dec 26 09:37:57 IST 2025","broken","Fri Dec 26 09:37:57 IST 2025","","","",""
"","88303","Step 1: Validate Find A Route UI elements","Find A Route Flow","Fri Dec 26 09:31:24 IST 2025","broken","Fri Dec 26 09:32:53 IST 2025","","","",""
