"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25031","Should delete existing emergency contacts and add new ones","Emergency Contact Flow","2026-04-07","broken","2026-04-07","","","",""
"","23966","Should upload front & back side of Registration Dcos successfully","Document Upload Registration Dcos","2026-04-07","broken","2026-04-07","","","",""
"","5257","Step 4: Tap Recenter again & compare screenshots","Find My Matter Flow","2026-04-07","broken","2026-04-07","","","",""
"","21257","Step 1: Validate Find A ROute UI elements","Find My Matter Flow","2025-12-13","broken","2025-12-13","","","",""
"","1438","Step 3: Tap on Recenter & capture screenshot","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","2628","Cancel order and verify in mobile app","Cancel Sales Order using API","2026-04-07","broken","2026-04-07","","","",""
"","52832","Step 1: Validate Find A Route UI elements","Find A Route Flow","2026-01-29","passed","2026-01-29","","","",""
"","26178","Should upload front & back side of Insurance License successfully","Document Upload Insurance License","2026-04-07","broken","2026-04-07","","","",""
"","30176","Should book a Experience Hub Test Ride successfully","Book Experience Hub Test Ride Flow","2026-04-07","broken","2026-04-07","","","",""
"","51754","Should book a Home Test Ride successfully","Book Home Test Ride Flow","2026-01-28","passed","2026-01-28","","","",""
"","26464","Step 1: Validate Find My Matter UI elements","Find My Matter Flow","2026-04-07","broken","2026-04-07","","","",""
"","1831","Step 2: Click Navigate to Vehicle & verify card elements","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","48167","should complete the full bike booking flow","Bike Booking Flow","2026-01-28","broken","2026-01-28","","","",""
"","27678","should complete the full bike booking flow","Bike Booking Flow","2026-04-07","broken","2026-04-07","","","",""
"","15198","Should login successfully using valid phone number and OTP","Login Flow Automation","2026-01-28","passed","2026-01-28","","","",""
"","36705","Should upload front & back side of Driving License successfully","Document Upload Driving License","2026-01-28","broken","2026-01-28","","","",""
"","5383","Step 5: Click Recenter → verify 3D View button & North Direction is Displayed","Find My Matter Flow","2026-04-07","failed","2026-04-07","","","",""
"","39601","Should book a test ride successfully","Book Test Ride Flow","2025-12-26","passed","2025-12-26","","","",""
"","1685","Step 4: Tap Recenter again & compare screenshots","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","27613","should delete existing presets and add new Home & Work presets","My Places - Preset Location Flow","2026-04-07","broken","2026-04-07","","","",""
"","1332","Step 5: Click Recenter → verify 3D View button & North Direction is Displayed","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","47641","Should upload front & back side of Registration Dcos successfully","Document Upload Registration Dcos","2026-01-28","broken","2026-01-28","","","",""
"","419","Step 5: verify 3D View button & North Direction is not Displayed","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","33552","Should delete existing emergency contacts and add new ones","Emergency Contact Flow","2026-01-28","broken","2026-01-28","","","",""
"","2203","Cancel order and verify in mobile app","Cancel Sales Order using API","2026-01-28","broken","2026-01-28","","","",""
"","73671","Should book a Experience Hub Test Ride successfully","Book Experience Hub Test Ride Flow","2026-01-28","broken","2026-01-28","","","",""
"","21837","Step 1: Validate Find My Matter UI elements","Find My Matter Flow","2026-01-29","passed","2026-01-29","","","",""
"","5214","Step 5: Click Recenter → verify 3D View button & North Direction","Find My Matter Flow","2025-12-12","broken","2025-12-12","","","",""
"","10773","should delete existing presets and add new Home & Work presets","My Places - Preset Location Flow","2026-01-28","broken","2026-01-28","","","",""
"","5235","Step 2: Click Navigate to Vehicle & verify card elements","Find My Matter Flow","2026-04-07","broken","2026-04-07","","","",""
"","30447","Should validate Rides Details Page elements","Rides Details Page Validation","2026-04-07","broken","2026-04-07","","","",""
"","29255","Should book a Home Test Ride successfully","Book Home Test Ride Flow","2026-04-07","broken","2026-04-07","","","",""
"","42490","Should add or delete emergency contact based on availability","Emergency Contact Flow","2025-12-23","passed","2025-12-23","","","",""
"","41406","Should upload front & back side of Insurance License successfully","Document Upload Insurance License","2026-01-28","broken","2026-01-28","","","",""
"","5331","Step 3: Tap on Recenter & capture screenshot","Find My Matter Flow","2026-04-07","broken","2026-04-07","","","",""
"","19425","Should login successfully using valid phone number and OTP","Login Flow Automation","2026-04-07","passed","2026-04-07","","","",""
"","719","Step 5: verify 3D View button & North Direction is not Displayed","Find My Matter Flow","2026-04-07","passed","2026-04-07","","","",""
"","25008","Should validate Rides Details Page elements","Rides Details Page Validation","2026-01-29","passed","2026-01-29","","","",""
"","25249","Should book a Experience Hub Test Ride successfully","Book Experience Hub Test Ride Flow","2026-04-07","broken","2026-04-07","","","",""
"","30573","Validate Account Page UI elements","Account Page Validation","2026-01-28","broken","2026-01-28","","","",""
"","106014","Step 1: Validate Find A Route UI elements","Find My Matter Flow","2025-12-13","passed","2025-12-13","","","",""
"","26022","Should upload front & back side of Driving License successfully","Document Upload Driving License","2026-04-07","broken","2026-04-07","","","",""
